Type of AN,Date,Name of Corporate Debtor (Table),Date of Auction (Table),Name of Insolvency Professional (Table),Auction Notice URL,Reserve Price (Table),Nature of Assets (Table),Last Date of EMD (Table),Details URL
Issue of Auction Notice,28-12-2023,UB ENGINEERING LIMITED,11-01-2024,Mr. Sanjeev Maheshwari,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-28-214454-k90mu-73898bfe9f445367ef8b423c5d425b46.pdf,"1,00,000","Retention money, deb...Retention money, debtors, security deposits and investments.",10-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703780095_4797.pdf
Issue of Auction Notice,27-12-2023,HINDUSTHAN SMALL TOOLS PVT LTD,25-01-2024,Mr. Kuldeep Verma,https://ibbi.gov.in/uploads/auction_notice_liquidation/23ada92223413c975833f8334550417e.pdf,"22,37,70,600",Immovable properties...Immovable properties of the Corporate Debtor as per newspaper announcement,22-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703652414_4786.pdf
Issue of Auction Notice,27-12-2023,PERFECT INTERNATIONAL FABRICATORS PRIVATE LIMITED,12-01-2024,Ms. Sripriya Kumar,https://ibbi.gov.in/uploads/auction_notice_liquidation/76da3be05daf9fbfb6a1ff105bcaf75d.pdf,"7,14,205","Lot 1: Swaraj Mazda ...Lot 1: Swaraj Mazda (41 seater); 
Lot 2: 10,000 equity shares of Rs. 100 each in M/s Tiruchirappalli Engineering and Technology Cluster. 
Lot 3: Four Electrical Panel Boards",10-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703658060_4787.pdf
Issue of Auction Notice,27-12-2023,Coastal Projects Limited,19-01-2024,Mr. Ravi Sankar Devarakonda,https://ibbi.gov.in/uploads/auction_notice_liquidation/20bb2a413fc2a6480b36c7eb8a8286a3.pdf,"1,62,00,00,000","Sale of the Corporat...Sale of the Corporate Debtor as a going concern under liquidation / sale of set of assets collectively . Assets consist of plant and machinery, land & building and financial assets",17-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703659507_4788.pdf
Issue of Auction Notice,27-12-2023,Kakade Developers Private Limited,27-01-2024,Mr. Jitendra Palande,https://ibbi.gov.in/uploads/auction_notice_liquidation/6c7679740ad527ca70c2a208ca93cb5e.pdf,"2,20,00,000","Land/Plot area
NRRA",23-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703666568_4789.pdf
Issue of Auction Notice,27-12-2023,Hansraj Agrofresh Private Limited,30-01-2024,Dev Vrat Rana,https://ibbi.gov.in/uploads/auction_notice_liquidation/a7ced863b3975dc004619d6fa7d7ea82.pdf,"10,27,66,478","Sale of the Corporat...Sale of the Corporate Debtor are being proposed as a Going Concern and the business(s) of the Corporate Debtor as a going concern as per regulation 32(e) & (f) of the Insolvency and Bankruptcy Board of India(Liquidation process) Regulation, 2016 on "" AS IS WHERE IS"", ""AS IS WHAT IS"", ""WHATEVER THERE IS"" AND ""NO RECOURSE BASIS",27-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703683616_4790.pdf
Issue of Auction Notice,26-12-2023,Rolex Cycles Private Limited,31-01-2024,Mr. Dinesh Kumar Seth,https://ibbi.gov.in/uploads/auction_notice_liquidation/d76bd25e2ae03e2b6cef2ccc3db07cdc.pdf,"10,37,00,000",Land and Buildings,29-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703570638_4783.pdf
Issue of Auction Notice,26-12-2023,GRD TRUCKS PRIVATE LIMITED,18-01-2024,Mr. Vijay Kishore Saxena,https://ibbi.gov.in/uploads/auction_notice_liquidation/1fd88ea27c4402f40d787884859a6e7e.pdf,"52,93,000","Plant & Machinery, O...Plant & Machinery, Office Equipment, Furniture & Fixtures, Vehicles, Shed, Containers, Inventory and 
Spare parts, etc.",16-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703573248_4784.pdf
Issue of Auction Notice,23-12-2023,BIL Infratech Limited,18-01-2024,Mr. Subodh Kumar Agrawal,https://ibbi.gov.in/uploads/auction_notice_liquidation/cee60d25c2045d57c5be4bb68f70fabc.pdf,"19,70,00,000","Sale of Corporate De...Sale of Corporate Debtor as a Going Concern along with
all assets including Securities & Financial Assets
(Excluding  cash/ Bank balance
over and above Rs 25.00 Lakh)",15-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703310289_4779.pdf
Issue of Auction Notice,23-12-2023,Cantronics Office Equipment Pvt Ltd,20-01-2024,bharati manoj daga,https://ibbi.gov.in/uploads/auction_notice_liquidation/d5ad327223ef9a01ff310544f703875c.pdf,"42,40,000",Plant & Machinery,17-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703317706_4780.pdf
Corrigendum,23-12-2023,Cantronics Office Equipment Pvt Ltd,20-01-2024,bharati manoj daga,https://ibbi.gov.in/uploads/auction_notice_liquidation/15d7ea2f2422767057dd63363ab388b8.pdf,"42,40,000",Plant & Machinery,17-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703318243_4781.pdf
Issue of Auction Notice,23-12-2023,Shrinivas Electricals GTD Private Limited,16-01-2024,Vaishali Arun Patrikar,https://ibbi.gov.in/uploads/auction_notice_liquidation/6dc8e8e1db388b2b99cee5b04856a280.pdf,"1,55,22,000","Sale of CD as a goin...Sale of CD as a going concern under IBBI (Liquidation Process) Regulations, 2016 except secured assets, i.e. Stocks, Debtors, Vehicle, Land & Building, Plant & Machinery and avoidable transactions.",13-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703330944_4782.pdf
Issue of Auction Notice,22-12-2023,GEM BATTERIES PRIVATE LIMITED,23-01-2024,Ms. Deepika Bhugra Prasad,https://ibbi.gov.in/uploads/auction_notice_liquidation/9587b5a27486816e0ebf73dd789d8d73.pdf,"3,65,33,252",Land and Building in...Land and Building including Plant and Machinery,20-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703221974_4764.pdf
Issue of Auction Notice,22-12-2023,Cox & Kings Limited,18-01-2024,Mr. Ashutosh Agarwala,https://ibbi.gov.in/uploads/auction_notice_liquidation/70a283fc961abbb2ef8dc40b78b9e413.pdf,"37,04,11,000","Lot 1 - Sale of M/s ...Lot 1 - Sale of M/s Cox & Kings Limited – In Liquidation
(“Company”) as a Going Concern Lot 2 - Sale of Trade
Receivables of M/s Cox & Kings Limited outstanding as on
19th November, 2023 collectively as a set of Assets. Lot 3 -
Sale of Trademarks & Domains Names of M/s Cox & Kings
Limited collectively as a set of Assets Lot 4 - Sale of each
of the Paintings & Artefacts of M/s Cox & Kings Limited as
an individual Asset on standalone basis",16-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703237658_4765.pdf
Issue of Auction Notice,22-12-2023,ETERNAL MOTORS PRIVATE LIMITED,24-01-2024,Mr. Nimai Gautam Shah,https://ibbi.gov.in/uploads/auction_notice_liquidation/53cf1e9e21b054a93f83c354807ab2b1.pdf,"20,00,000","Stock of plant and m...Stock of plant and machinery, inventory, Maruti car accessories and spare parts, office equipments and furniture",22-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703227776_4766.pdf
Issue of Auction Notice,22-12-2023,Nanai Dairy Private Limited,24-01-2024,Mr. Prashant Jain,https://ibbi.gov.in/uploads/auction_notice_liquidation/1c2e7c1aec9c58de0a357198df349e65.pdf,"34,55,658",Plant & Machinery,22-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703230035_4767.pdf
Issue of Auction Notice,22-12-2023,SURYAJYOTI SPINNING MILLS LTD,19-01-2024,Mr. Gonugunta Madhusudhan Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/0441eb581dfa23845419db825f0e9e58.pdf,"1,50,00,00,000","Company as a whole (...Company as a whole (as going concern) basis. Company has Installed Spinning capacity of 86,560 spindles at 3 Units at Makthal, Burgul and Rajapur and 4th Unit has installed capacity of 150 Lakh Mts PA for fabric Mfg at Kucherkal. 3 Units are around 50 Km and 4th Unit is 150 KM from Hyderabad Airport.  Assets are at Telengana.",16-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703230091_4768.pdf
Issue of Auction Notice,22-12-2023,SURYAJYOTI SPINNING MILLS LTD,19-01-2024,Mr. Gonugunta Madhusudhan Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-22-130543-qg9fl-0441eb581dfa23845419db825f0e9e58.pdf,"24,78,00,000","Makthal unit has ins...Makthal unit has installed capacity of 29,376 spindles and Makthal — Narayanpet Road, Makthal Village, Mahabubnagar, Telangana. Around 150 Km from Hyderabad Airport. This Contains mainly Land and Buildings and Plant and Machineries.",16-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703230543_4769.pdf
Issue of Auction Notice,22-12-2023,BHAGWAN MOTORS PRIVATE LIMITED,17-01-2024,Mr. Amit Chopra,https://ibbi.gov.in/uploads/auction_notice_liquidation/d66fb6a60cd39e3899b81d390e235e7d.pdf,"74,06,267",Plant and Machinery ...Plant and Machinery Belonging to CD - M/s Bhagwan Motors Private Limited,15-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703230690_4770.pdf
Issue of Auction Notice,22-12-2023,SURYAJYOTI SPINNING MILLS LTD,19-01-2024,Mr. Gonugunta Madhusudhan Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-22-131615-j4tp3-0441eb581dfa23845419db825f0e9e58.pdf,"46,00,00,000","Rajapur Unit has ins...Rajapur Unit has installed capacity of 24,000 spindles and located at National Highway No 7 facing, around 49 kms from Hyderabad Airport, Telangana. This Contains mainly Land and Buildings and Plant and Machineries.",16-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703231175_4772.pdf
Issue of Auction Notice,22-12-2023,SURYAJYOTI SPINNING MILLS LTD,19-01-2024,Mr. Gonugunta Madhusudhan Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-22-132159-uj8x2-0441eb581dfa23845419db825f0e9e58.pdf,"62,13,00,000","Kucherkal unit has i...Kucherkal unit has installed capacity of 1,50,00,000 Mts PA for fabric Mfg. This is manly contains Land and Buildings and Plant and Machineries.",16-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703231519_4773.pdf
Issue of Auction Notice,22-12-2023,SURYAJYOTI SPINNING MILLS LTD,19-01-2024,Mr. Gonugunta Madhusudhan Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-22-132603-u8p2t-0441eb581dfa23845419db825f0e9e58.pdf,"25,77,00,000","Burgul unit has inst...Burgul unit has installed capacity of 33,184 Spindles. This is manly contains Land and Buildings and Plant and Machineries.",16-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703231763_4774.pdf
Issue of Auction Notice,22-12-2023,SURYAJYOTI SPINNING MILLS LTD,19-01-2024,Mr. Gonugunta Madhusudhan Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-22-132915-47hd2-0441eb581dfa23845419db825f0e9e58.pdf,"3,25,00,000","Vehicles, F&F, Compu...Vehicles, F&F, Computers and Financial Assets of the CD.",16-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703231955_4775.pdf
Issue of Auction Notice,22-12-2023,KRISHNA PREMIUM CARE SERVICES LLP,11-01-2024,NAGARAJA CHARY PEDDAPATA,https://ibbi.gov.in/uploads/auction_notice_liquidation/9f2ece930bf4f475c56690ad703d8ef2.pdf,"2,44,41,750",sale as going concer...sale as going concern/securities & financial assets,31-12-2023,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703237486_4776.pdf
Issue of Auction Notice,22-12-2023,Genrx Pharmaceuticals Private Limited,19-01-2024,Mr. Rajesh Kumar Mittal,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-22-160539-c50s9-1c3debd0fabf31818e5fb0c6474851fb.pdf,"17,10,00,000","Corporate Debtor, as...Corporate Debtor, as a going concern basis with all its assets including Land & Building, Plant & Machinery and other fixed and financial assets of Corporate debtor (excluding Cash & Bank Balances and amount recoverable in the matter of Avoidance transaction applications pending with AA",17-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703241584_4777.pdf
Issue of Auction Notice,22-12-2023,ASIS LOGISTICS LIMITED,20-01-2024,Mr. Devendra Jain,https://ibbi.gov.in/uploads/auction_notice_liquidation/5832de8ac54b8b1e3fd23ec204c39e45.pdf,"1,55,00,000","Option A :- Sale of ...Option A :- Sale of Corporate debtor as a going concern.
Option B :- Lot of 52 Vehicle.",18-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703244090_4778.pdf
Issue of Auction Notice,21-12-2023,Corporate Power Limited,15-01-2024,Mr. Pankaj Dhanuka,https://ibbi.gov.in/uploads/auction_notice_liquidation/55677a3eb7a8e7fc3777d5ab501ae5c5.pdf,"3,25,45,57,500","1. Corporate Debtor ...1. Corporate Debtor as a going concern - Reserve price of INR 325,45,57,500/- and EMD of INR 32,54,55,750/-. 2. All assets of Corporate Debtor as a whole on piecemeal basis - Reserve price of INR 325,07,10,000/- and EMD of INR 32,50,71,000/-",12-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703139949_4759.pdf
Issue of Auction Notice,21-12-2023,BASE CORPORATION LIMITED,22-01-2024,Mr. Konduru Prasanth Raju,https://ibbi.gov.in/uploads/auction_notice_liquidation/105ebc05a43fec8f68fb72908852fd85.pdf,"37,54,00,000.00","UNIT-SOLAN as a Goin...UNIT-SOLAN as a Going Concern. LAND & BUILDING at
SOLAN PLANT & MACHINERY at SOLAN – UNIT.",19-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703139715_4760.pdf
Issue of Auction Notice,21-12-2023,SUPREME TEX MART LIMITED,20-01-2024,Mr. Ravinder Kumar Goel,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-21-155122-jp8fz-88cdd2f4510ea7cc7ef360540bc13b5b.pdf,"1,49,61,000",Receivables and Long...Receivables and Long Term Loans,18-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703154165_4761.pdf
Issue of Auction Notice,21-12-2023,Pawar Electro Systems Private Limited,19-01-2024,Mr. Girish Siriram Juneja,https://ibbi.gov.in/uploads/auction_notice_liquidation/b1a1e21c629ab4c7b2dac48fa4e0df00.pdf,"12,50,00,000",Corporate Debtor on ...Corporate Debtor on going concern basis,16-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703155593_4762.pdf
Issue of Auction Notice,21-12-2023,SHREE SHANKAR SAW MILL PRIVATE LIMITED,20-01-2024,Neeraj Kumar Sureka,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-21-215947-w1ske-52bc5b5a33e948c2f98fe62b7b76d2af.pdf,"1,32,80,500",Unit No. 1D (New uni...Unit No. 1D (New unit No. 403) on the Fourth Floor on the South-Western side containing a super built-up area of 3520 sq. ft.,17-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703176187_4763.pdf
Issue of Auction Notice,20-12-2023,Ashapura Garments Limited,23-01-2024,Mohit Bipinchandra Adatiya,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-20-150141-vlzdk-61ae3f9d9cbe9bc24c122b27e908aa94.pdf,"43,80,45,000","Option 1 
1A  Lease...Option 1 
1A  Leasehold land admeasuring 20258 sq. mtrs. along with factory building constructed thereon in 16,642.12 sq. mtr. bearing revenue survey no.141 (part), at Mundra Integrated Textile And Apparel Park (MITAP) in Mundra SEZ, Mundra-Kachchh, Gujarat
1B  Plant and Machinery at Mundra & Mumbai
1C Gala No. 102, 104, 113, 114, 203, 206, 207, 305, 310, 311, 312, 313, 314, 405 & 406 at Navyug Ind. Estate, Sewree, Mumbai 
1D Flat No. 201, 404, 601, 604, 701 at Balaji Garden Co-op Housing Society Ltd., situated at Plot No. 17, Sector-11, Koperkhairana, Mumbai 
1E Securities and Financial Assets
Option 2
Sale of the Corporate Debtor as a going concern on “as is where is” basis with all its assets and liabilities.",19-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703064701_4756.pdf
Issue of Auction Notice,20-12-2023,PINKY SHIPYARD PRIVATE LIMITED,22-01-2024,Mr. Udayraj Patwardhan,https://ibbi.gov.in/uploads/auction_notice_liquidation/ad72c2281691b089207b820fed25311a.pdf,"4,01,01,653",Land,20-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1703069045_4758.pdf
Issue of Auction Notice,19-12-2023,Swiss Ribbons Private Limited,15-01-2024,Mr. George Samuel,https://ibbi.gov.in/uploads/auction_notice_liquidation/6643f4b58d382e4195ee76f9345709af.pdf,"1,32,96,000",Plant & Machinery an...Plant & Machinery and Finished Goods,12-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702939480_4749.pdf
Issue of Auction Notice,19-12-2023,Subhashri Bio-Energies Private Limited,22-01-2024,Mr. Palanigounder Eswaramoorthy,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-19-080258-0wrty-5c06ce6c0111806ecfd4fbad7e27f559.pdf,"9,60,00,000","33.165 Acres of Land...33.165 Acres of Land at Unjanai village &
Kumarapalayam @ Goundampalayam Village,
Tiruchengode Taluk, Namakkal & 94000 (Approx)
Sq.ft of Building and Industrial Shed, obsolete
poultry manure.",19-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702953178_4750.pdf
Issue of Auction Notice,19-12-2023,VINDHYAVASINI CORPORATION PRIVATE LIMITED,17-01-2024,Mr. Naren Sheth,https://ibbi.gov.in/uploads/auction_notice_liquidation/b00a587d4c99c45b37a2be90663585db.pdf,"4,21,00,000",Land & Building,15-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702962557_4751.pdf
Issue of Auction Notice,19-12-2023,VARANASI AUTO SALES LIMITED,16-01-2024,Mr. Yogesh Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/8def08d000c0de28fe569202b1233ca1.pdf,"37,00,00,000",LAND AND BUILDING IN...LAND AND BUILDING INCLUDING STRUCTURE,12-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702979836_4752.pdf
Issue of Auction Notice,19-12-2023,JOTESRIRAM HIMGHAR PRIVATE LIMITED,29-12-2023,Mr. Santanu Bhattacharjee,https://ibbi.gov.in/uploads/auction_notice_liquidation/483923403c45bcfb22ba751bf046d00e.pdf,"3,66,00,000",Land & Building and ...Land & Building and Plant & Machinery,28-12-2023,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702981578_4753.pdf
Issue of Auction Notice,19-12-2023,MIRAGE CERAMICS PRIVATE LIMITED,17-01-2024,Mr. Bhaskar Gopal Shetty,https://ibbi.gov.in/uploads/auction_notice_liquidation/73f265552462ddd10c51e1f0428f61df.pdf,"42,00,00,000",SELLING CORPORATE DE...SELLING CORPORATE DEBTOR  AS A GOING CONCERN,10-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702994053_4754.pdf
Issue of Auction Notice,18-12-2023,Bahula Infotech Private Limited,14-01-2024,Rashmi Chhawchharia,https://ibbi.gov.in/uploads/auction_notice_liquidation/14ef19e5e99ed510111ef67f12eb9fc7.pdf,"1,68,48,000","A. Corporate Debtor ...A. Corporate Debtor as a Going Concern, (without liabilities and excluding cash and bank balances)
B.Assets in Parcels-SHARES OF VARA INFROVATE PRIVATE LIMITED having CIN U30009WB1999PTC090277 – 99320 Nos of Equity Shares of Face Value Rs 10/-",12-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702879128_4729.pdf
Issue of Auction Notice,18-12-2023,Firestar Diamond International Private Limited,22-01-2024,Mr. Santanu T Ray,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-18-121027-6j9ix-b2b93efce631d132147fa101a5c4d2d1.pdf,"45,89,89,409","The Liquidator in Co...The Liquidator in Consultation with the Committee members has proposed to sale, the assets of the Corporate Debtor.",20-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702881712_4743.pdf
Issue of Auction Notice,18-12-2023,NAKODA LIMITED,16-01-2024,Ravindra Kumar Goyal,https://ibbi.gov.in/uploads/auction_notice_liquidation/1d9647304e1d0442e9dc40f6e212864c.pdf,"2,30,18,66,000","A1 Sale of Corporate...A1 Sale of Corporate Debtor as a Going Concern (under regulation 32 (e) of IBBI (Liquidation process) Regulations, 2016 except Nine Windmills at Tamil Nadu.

B1 Surat Plant (Comprising of Land, Building, Plant & Machinery and Inventory)

B2 Flat at Surat

B3 Bungalow at Lonavala",13-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702903659_4744.pdf
Issue of Auction Notice,18-12-2023,SNNEHA NATURAL WORLD PRIVATE LIMITED,19-01-2024,Mr. Ravindra Chaturvedi,https://ibbi.gov.in/uploads/auction_notice_liquidation/a630b6df3d3c7417a155fa11c9d20a88.pdf,"6,71,50,000","Leasehold Factory La...Leasehold Factory Land admeasuring area about 22,000 Sq.mt covering situated at Plot No. 1-B and 1-C, Village-Yadrav, Gut No. 50,51,52 and 53, Parvati Co-Operative Industrial Estate, Sector-I, Phase- III, Taluka-Shirol, District-Kolhapur, within the local limits of Shirol.
And
Building admeasuring approximate built-up area is 46,246.50 Sq. Ft. situated at Plot No. 1-B and 1-C, Village-Yadrav, Gut No. 50,51,52 and 53, Parvati Co- Operative Industrial Estate, Sector-I, Phase- III, Taluka-Shirol, District- Kolhapur, within the local limits of Shirol.",17-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702894152_4745.pdf
Issue of Auction Notice,18-12-2023,GOODDAY VENTURES INDIA PVT LTD,22-01-2024,Mr. Prashant Jain,https://ibbi.gov.in/uploads/auction_notice_liquidation/20755b3e322c5726534653db1bcb92da.pdf,"4,52,40,187",Row House property (...Row House property (Immovable Property),19-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702895509_4746.pdf
Issue of Auction Notice,18-12-2023,Muktar Infrastructure India Private Limited,15-01-2024,Mr. Anup Kumar Singh,https://ibbi.gov.in/uploads/auction_notice_liquidation/54bd76daef3012cec65fd103600c80d9.pdf,"25,00,00,000",Sale as going conce...Sale as going concern,12-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702901851_4747.pdf
Issue of Auction Notice,18-12-2023,MUKTAR MINERALS PRIVATE LIMITED,15-01-2024,Mr. Anup Kumar Singh,https://ibbi.gov.in/uploads/auction_notice_liquidation/9dad8e2b0b749e72a8253e187f438bf4.pdf,"28,16,10,000",Moveable and Immovab...Moveable and Immovable assets,12-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702903286_4748.pdf
Issue of Auction Notice,16-12-2023,TIRUPUR PLAZA HOTEL PRIVATE LIMITED,12-01-2024,Mr. A R Ramasubramania Raja,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-16-122942-3awh9-e629c1dbc8d9dc32a360e055b5043d6a.pdf,"6,50,00,000","Land and Building in...Land and Building including Plant & Machinery like furniture, kitchen equipment with accessories",09-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702710113_4732.pdf
Issue of Auction Notice,16-12-2023,Southern Batteries  Pvt Ltd,12-01-2024,Mr. Kanekal Chandrasekhar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-16-124646-iychp-f100d1bff37ad3c7af0e325c2bf21407.pdf,"6,00,00,000",Plant & Machinery an...Plant & Machinery and Inventory,10-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702711539_4733.pdf
Issue of Auction Notice,16-12-2023,Platino Classic Motors (India) Private Limited,15-01-2024,Reuben George Joseph,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-16-125545-qanci-e82420483bb9b9108c37e749554a44d9.pdf,"15,00,00,000","Land & building alon...Land & building along with furniture & fittings, tools & equipment, electrical items",13-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702711546_4734.pdf
Issue of Auction Notice,16-12-2023,Southern Batteries  Pvt Ltd,12-01-2024,Mr. Kanekal Chandrasekhar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-16-130022-z16x9-f100d1bff37ad3c7af0e325c2bf21407.pdf,"10,50,00,000",Land & Building of U...Land & Building of Unit 1 at Plot No 30.,10-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702711945_4735.pdf
Issue of Auction Notice,16-12-2023,Southern Batteries  Pvt Ltd,12-01-2024,Mr. Kanekal Chandrasekhar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-16-130655-shr9y-f100d1bff37ad3c7af0e325c2bf21407.pdf,"3,00,00,000","Land & Building at U...Land & Building at Unit 1 B, Plot No A 22.",10-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702712222_4736.pdf
Issue of Auction Notice,16-12-2023,Southern Batteries  Pvt Ltd,12-01-2024,Mr. Kanekal Chandrasekhar,https://ibbi.gov.in/uploads/auction_notice_liquidation/5792fbf58c04c78a790e7404898a4a1d.pdf,"34,00,00,000","Land & Building of U...Land & Building of Unit 2, Plot No 328",10-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702712472_4737.pdf
Issue of Auction Notice,16-12-2023,Southern Batteries  Pvt Ltd,12-01-2024,Mr. Kanekal Chandrasekhar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-16-131503-vqm2y-f100d1bff37ad3c7af0e325c2bf21407.pdf,"44,00,00,000","Land & Building at u...Land & Building at unit 3, Plot No 20 A.",10-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702712730_4738.pdf
Issue of Auction Notice,16-12-2023,Southern Batteries  Pvt Ltd,12-01-2024,Mr. Kanekal Chandrasekhar,https://ibbi.gov.in/uploads/auction_notice_liquidation/2023-12-16-132351-tb0pd-f100d1bff37ad3c7af0e325c2bf21407.pdf,"1,00,00,000","9 Vehicle consisting...9 Vehicle consisting of 6 trucks, 1 Bus & 2 Mercedes-Benz Cars parked at Unit 1A, Unit 2 and Unit 3",10-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702713262_4739.pdf
Issue of Auction Notice,16-12-2023,PSL LIMITED,17-01-2024,Nitin Jain,https://ibbi.gov.in/uploads/auction_notice_liquidation/70c52435d788a5f0d5f2415f357f0f04.pdf,"8,10,00,000",Land & Building,15-01-2024,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1702714432_4740.pdf
